age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32,3,43403,15,10,0,4,1,4,0,0,1590,54,38,<=50K
19,3,182609,11,9,4,9,3,2,0,0,0,25,38,<=50K
51,3,332243,9,13,0,9,1,4,1,0,0,45,38,<=50K
27,3,158156,11,9,4,7,1,4,0,0,0,42,38,<=50K
64,5,170421,15,10,6,2,1,4,0,0,0,8,38,<=50K
22,3,120572,15,10,4,9,3,4,0,0,0,40,38,<=50K
53,3,152657,0,6,2,2,0,2,1,0,0,40,38,<=50K
50,0,299831,15,10,0,0,4,4,0,0,880,40,38,<=50K
38,3,149419,8,11,4,12,1,4,1,0,0,50,38,<=50K
34,3,224358,0,6,4,7,4,2,0,0,0,40,38,<=50K
39,3,205359,7,12,6,0,4,4,0,0,0,45,38,<=50K
65,3,469602,9,13,2,11,0,4,1,0,0,15,38,<=50K
45,3,178416,8,11,0,5,1,4,0,0,0,40,38,<=50K
41,3,174189,6,5,5,7,1,4,1,0,0,40,38,<=50K
50,3,128478,11,9,2,13,0,4,1,0,0,70,38,<=50K
48,3,101684,11,9,2,11,0,4,1,0,0,40,38,<=50K
66,5,28061,5,4,6,4,4,4,1,0,0,50,38,<=50K
20,3,284737,15,10,4,7,3,4,1,0,0,20,38,<=50K
33,1,292217,11,9,0,10,4,4,1,0,0,40,38,<=50K
18,3,436163,1,7,4,9,3,4,1,0,0,20,38,<=50K
24,3,22201,11,9,2,10,0,1,1,0,0,40,36,<=50K
35,3,178948,12,14,4,9,4,4,0,0,0,32,38,<=50K
23,0,350680,7,12,4,3,3,4,0,0,0,40,30,<=50K
21,3,405684,11,9,4,9,2,4,1,0,0,35,25,<=50K
39,0,206190,11,9,4,3,4,4,0,0,0,45,38,<=50K
30,3,236861,11,9,4,3,1,4,1,0,1876,45,38,<=50K
24,3,33339,15,10,4,9,3,4,1,0,0,20,38,<=50K
27,3,189462,12,14,4,0,1,4,0,0,0,46,38,<=50K
18,3,170544,1,7,4,5,3,4,1,0,0,20,38,<=50K
52,5,194791,15,10,2,2,0,4,1,0,0,40,38,<=50K
49,5,99335,15,10,2,11,0,4,1,0,0,50,38,<=50K
35,3,273558,15,10,4,9,1,2,1,0,0,30,38,<=50K
27,3,242207,9,13,4,12,3,4,0,0,0,40,38,<=50K
20,3,183594,15,10,4,13,3,4,1,0,0,40,38,<=50K
