age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,CLASS
30,10,1,0,0,1787,0,0,0,19,10,79,1,-1,0,3,0
33,7,1,1,0,4789,1,1,0,11,8,220,1,339,4,0,0
35,4,2,2,0,1350,1,0,0,16,0,185,1,330,1,0,0
30,4,1,2,0,1476,1,1,2,3,6,199,4,-1,0,3,0
59,1,1,1,0,0,1,0,2,5,8,226,1,-1,0,3,0
35,4,2,2,0,747,0,0,0,23,3,141,2,176,3,0,0
36,6,1,2,0,307,1,0,0,14,8,341,1,330,2,1,0
39,9,1,1,0,147,1,0,0,6,8,151,2,-1,0,3,0
41,2,1,2,0,221,1,0,2,14,8,57,2,-1,0,3,0
43,7,1,0,0,-88,1,1,0,17,0,313,1,147,2,0,0
39,7,1,1,0,9374,1,0,2,20,8,273,1,-1,0,3,0
43,0,1,1,0,264,1,0,0,17,0,113,2,-1,0,3,0
36,9,1,2,0,1109,0,0,0,13,1,328,2,-1,0,3,0
20,8,2,1,0,502,0,0,0,30,0,261,1,-1,0,3,1
31,1,1,1,0,360,1,1,0,29,4,89,1,241,1,0,0
40,4,1,2,0,194,0,1,0,29,1,189,2,-1,0,3,0
56,9,1,1,0,4073,0,0,0,27,1,239,5,-1,0,3,0
37,0,2,2,0,2317,1,0,0,20,0,114,1,152,2,0,0
25,1,2,0,0,-221,1,0,2,23,8,250,1,-1,0,3,0
31,7,1,1,0,132,0,0,0,7,5,148,1,152,1,1,0
38,4,0,3,0,0,1,0,0,18,9,96,2,-1,0,3,0
42,4,0,2,0,16,0,0,0,19,9,140,3,-1,0,3,0
44,7,2,1,0,106,0,0,2,12,6,109,2,-1,0,3,0
44,2,1,1,0,93,0,0,0,7,5,125,2,-1,0,3,0
26,3,1,2,0,543,0,0,0,30,4,169,3,-1,0,3,0
41,4,1,2,0,5883,0,0,0,20,9,182,2,-1,0,3,0
55,1,1,0,0,627,1,0,2,5,8,247,1,-1,0,3,0
67,5,1,3,0,696,0,0,1,17,1,119,1,105,2,0,0
56,6,1,1,0,784,0,1,0,30,5,149,2,-1,0,3,0
53,0,1,1,0,105,0,1,0,21,1,74,2,-1,0,3,0
68,5,0,1,0,4189,0,0,1,14,5,897,2,-1,0,3,1
31,9,1,1,0,171,0,0,0,27,1,81,3,-1,0,3,0
59,4,1,1,0,42,0,0,0,21,9,40,1,-1,0,3,0
32,4,2,2,0,2536,1,0,0,26,1,958,6,-1,0,3,1
49,9,1,2,0,1235,0,0,0,13,1,354,3,-1,0,3,1
42,0,0,1,0,1811,1,0,2,14,8,150,1,-1,0,3,0
78,5,0,0,0,229,0,0,1,22,10,97,1,-1,0,3,1
32,1,1,1,0,2089,1,0,0,14,9,132,1,-1,0,3,1
33,4,1,1,0,3935,1,0,0,6,8,765,1,342,2,0,1
23,7,2,2,0,363,1,0,2,30,8,16,18,-1,0,3,0
38,4,2,2,0,11971,1,0,2,17,9,609,2,101,3,0,0
36,4,2,2,0,553,0,0,0,11,1,106,2,-1,0,3,0
52,1,1,1,0,1117,1,0,0,13,8,365,1,-1,0,3,0
32,9,1,2,0,396,1,0,0,13,8,205,3,-1,0,3,0
32,9,2,2,0,2204,1,0,0,21,9,11,4,-1,0,3,0
34,4,2,2,0,872,1,0,2,7,8,105,2,-1,0,3,0
55,1,1,0,0,145,0,0,1,2,3,59,3,5,2,1,0
26,1,1,0,0,0,1,0,2,21,8,425,1,-1,0,3,0
32,2,2,0,1,-849,1,1,0,4,3,204,1,-1,0,3,0
61,0,1,3,0,4629,1,0,0,27,4,181,1,92,1,2,1
45,1,0,0,0,844,0,0,2,5,6,1018,3,-1,0,3,1
37,9,2,1,0,228,1,0,0,20,1,1740,2,-1,0,3,0
38,9,2,1,0,50,0,0,0,29,1,98,2,-1,0,3,0
34,9,1,2,0,1539,1,0,0,15,6,441,1,56,1,1,1
53,1,1,1,0,2231,1,0,0,14,5,272,3,-1,0,3,0
48,0,1,1,0,3064,1,0,1,15,5,159,2,-1,0,3,0
57,4,1,1,0,82,0,1,1,4,3,140,1,-1,0,3,0
33,6,2,2,0,2155,0,0,0,17,9,295,1,-1,0,3,0
36,5,2,1,0,101,1,1,2,26,8,314,1,-1,0,3,0
54,9,0,1,0,784,1,1,2,15,8,579,1,-1,0,3,0
41,1,1,0,0,-516,0,1,1,8,5,554,3,-1,0,3,0
63,5,1,1,0,415,1,0,0,7,10,323,1,-1,0,3,0
48,4,1,2,0,5887,0,0,0,13,1,227,2,-1,0,3,0
48,7,1,1,0,1355,0,0,0,4,5,134,2,-1,0,3,0
56,0,1,1,0,16873,0,0,0,7,10,223,1,-1,0,3,0
51,1,0,1,0,203,1,0,0,8,8,134,1,170,5,0,0
31,7,1,1,0,338,1,0,0,28,4,155,1,-1,0,3,0
29,9,1,1,0,444,1,0,0,21,5,130,4,-1,0,3,0
41,4,1,1,0,0,0,1,0,7,5,630,3,-1,0,3,0
32,9,2,2,0,360,0,0,0,19,9,164,2,-1,0,3,0
37,4,1,2,0,0,0,0,0,16,5,268,2,182,3,2,1
42,2,0,2,1,2,1,0,2,5,8,380,1,-1,0,3,0
31,4,2,2,0,6248,1,0,2,9,8,154,2,-1,0,3,0
41,7,1,2,0,412,1,0,2,3,6,154,5,-1,0,3,0
56,5,1,1,0,344,1,0,2,15,8,221,1,-1,0,3,0
54,4,0,2,0,3222,0,0,0,14,1,67,2,-1,0,3,0
41,1,0,1,0,174,1,0,0,14,8,367,2,297,1,1,0
40,9,2,1,0,591,0,1,0,14,1,87,6,-1,0,3,0
50,1,0,0,0,388,0,0,0,5,3,701,1,-1,0,3,0
40,10,1,1,0,219,1,0,0,17,9,204,2,196,1,0,0
27,0,0,1,0,451,1,0,0,16,5,652,1,-1,0,3,1
60,5,1,0,0,5,0,0,0,26,1,63,2,-1,0,3,0
28,0,2,1,0,177,1,1,0,6,8,150,1,-1,0,3,0
52,7,1,1,0,657,0,0,1,7,5,398,2,460,2,0,1
37,4,1,2,0,1315,0,0,0,30,6,224,1,-1,0,3,1
51,1,1,0,0,1466,1,0,2,7,8,406,2,-1,0,3,0
41,9,2,1,0,879,0,1,0,7,5,60,4,-1,0,3,0
35,1,2,0,0,293,1,0,2,30,8,521,2,-1,0,3,0
38,0,1,1,0,424,1,0,0,17,0,279,1,-1,0,3,0
34,1,1,1,0,1831,1,0,2,20,8,203,2,-1,0,3,0
39,1,1,0,0,111,0,0,0,18,9,201,2,-1,0,3,0
34,1,1,0,0,455,1,0,2,20,6,372,3,-1,0,3,0
27,7,2,1,0,-195,1,0,0,18,8,391,1,-1,0,3,1
32,4,2,2,0,3616,0,0,0,14,1,165,2,-1,0,3,0
57,1,1,1,0,14093,0,0,0,11,1,231,5,-1,0,3,0
41,11,2,2,0,1567,0,0,0,1,5,291,2,-1,0,3,0
41,0,1,2,0,5426,1,0,2,14,8,149,2,-1,0,3,0
30,0,2,2,0,261,0,0,0,19,10,233,1,137,20,0,0
36,1,0,1,0,2843,0,0,0,12,3,473,1,182,1,2,0
31,10,2,0,0,406,0,0,0,4,3,736,1,-1,0,3,1
36,1,1,1,0,0,1,0,2,6,8,337,1,-1,0,3,0
38,4,2,2,0,493,1,0,0,11,8,553,1,367,7,0,0
49,9,1,1,0,5996,0,0,1,21,9,345,2,-1,0,3,0
57,7,2,0,0,3777,1,0,1,13,8,65,2,-1,0,3,0
34,4,2,1,0,524,0,0,2,13,1,9,1,-1,0,3,0
32,4,2,2,0,574,1,0,0,14,0,259,2,145,3,0,0
37,1,1,1,0,427,1,1,2,9,6,371,3,-1,0,3,0
33,6,1,2,0,483,1,0,0,3,3,280,2,-1,0,3,0
56,10,1,0,0,3391,0,0,0,21,0,243,1,-1,0,3,1
27,3,1,0,0,0,1,0,0,23,5,435,3,-1,0,3,0
21,8,2,1,0,2488,0,0,0,30,6,258,6,169,3,2,1
58,4,1,2,0,1517,1,0,1,29,5,7,5,-1,0,3,0
32,6,1,1,0,217,1,1,0,15,5,317,5,-1,0,3,0
33,1,2,1,0,22,0,0,0,30,4,76,2,207,1,0,0
25,8,2,1,0,331,0,0,1,26,1,170,4,-1,0,3,1
25,9,2,1,0,505,0,1,0,17,9,386,2,-1,0,3,1
30,7,1,1,0,1808,1,0,0,18,8,83,2,-1,0,3,0
22,0,2,1,0,4111,0,1,0,19,1,65,1,-1,0,3,0
39,1,1,0,0,52,0,0,0,13,1,69,1,-1,0,3,0
46,4,0,2,0,25,0,0,2,17,6,564,2,-1,0,3,0
31,0,0,1,0,1890,1,0,0,21,5,588,1,-1,0,3,0
45,1,1,0,0,419,0,0,0,18,1,113,4,-1,0,3,0
32,9,1,1,0,2693,1,0,2,21,8,16,1,-1,0,3,0
36,1,1,1,0,-231,0,1,0,15,5,779,2,-1,0,3,0
51,4,2,2,1,-55,1,0,0,11,8,281,2,266,6,0,0
34,6,2,2,0,462,0,0,0,21,1,1877,3,-1,0,3,1
24,10,2,1,0,119,0,0,2,15,11,51,1,-1,0,3,0
45,9,2,1,0,586,0,1,0,28,5,32,3,-1,0,3,0
32,1,2,1,0,228,0,0,1,5,3,176,1,288,3,0,0
77,5,0,2,0,4659,0,0,0,14,0,161,1,-1,0,3,1
41,1,1,0,0,168,1,0,0,18,9,187,3,-1,0,3,0
37,1,1,0,0,0,1,0,2,26,8,24,1,-1,0,3,0
43,1,1,3,1,-715,1,0,2,30,8,67,3,-1,0,3,0
48,0,1,3,0,0,1,0,0,8,8,85,1,168,2,0,0
27,9,2,1,0,769,1,0,2,9,8,317,2,-1,0,3,0
33,4,2,2,0,0,0,0,0,28,1,236,10,-1,0,3,0
29,0,2,1,0,428,1,1,0,7,8,54,1,345,2,0,0
34,4,2,2,0,0,0,0,0,5,3,71,1,-1,0,3,0
52,4,1,2,0,-970,1,0,0,4,3,489,1,-1,0,3,1
60,4,1,3,0,6313,0,0,2,19,6,39,2,-1,0,3,0
32,4,0,2,0,948,0,0,0,12,1,204,2,-1,0,3,0
32,4,2,2,0,0,1,0,0,22,5,455,2,-1,0,3,0
56,7,0,3,0,1877,1,0,2,30,8,86,1,-1,0,3,0
31,4,2,2,0,874,1,0,0,18,9,190,2,-1,0,3,0
42,0,1,1,0,323,1,1,2,8,8,280,2,-1,0,3,0
35,4,1,2,0,106,0,1,0,11,1,588,2,-1,0,3,0
56,5,1,0,0,1906,0,1,2,19,6,45,9,-1,0,3,0
48,9,1,1,0,1152,1,0,0,21,5,168,5,-1,0,3,0
46,0,1,1,0,179,1,0,0,29,4,194,4,436,1,1,0
37,9,2,3,0,391,1,0,2,8,8,103,3,-1,0,3,0
41,2,1,3,0,89,1,0,2,6,8,333,2,-1,0,3,0
36,4,2,2,0,442,1,1,0,29,5,102,3,-1,0,3,0
45,10,0,0,1,-249,1,1,2,1,5,92,1,-1,0,3,0
55,2,1,1,0,8104,0,0,0,6,3,213,2,-1,0,3,0
39,9,1,1,0,501,0,0,2,26,8,289,1,-1,0,3,0
35,9,0,1,0,308,0,0,0,22,1,77,2,-1,0,3,0
55,0,1,1,0,602,0,0,0,1,6,324,3,90,2,2,1
55,9,1,1,0,273,1,0,0,29,4,84,3,183,3,0,0
27,6,2,1,0,50,0,0,0,29,4,168,1,-1,0,3,0
34,9,1,1,0,1641,1,0,0,17,0,380,1,-1,0,3,0
34,1,1,2,0,20,0,0,2,4,10,10,1,-1,0,3,0
25,0,2,1,0,4590,1,0,2,28,8,199,2,-1,0,3,0
41,0,2,1,0,-256,0,1,2,9,8,35,3,-1,0,3,0
43,7,1,1,0,978,1,1,2,26,8,82,2,-1,0,3,0
28,4,2,2,0,80,0,0,0,20,10,676,2,146,2,0,1
31,0,2,1,0,2104,1,0,2,3,6,455,1,-1,0,3,0
78,3,1,1,0,499,0,0,1,16,7,80,4,-1,0,3,0
45,1,0,1,0,1269,1,0,0,29,4,549,2,-1,0,3,0
48,9,1,2,0,310,0,0,2,6,8,135,1,-1,0,3,0
32,1,2,1,0,1143,1,1,0,10,5,412,1,-1,0,3,0
42,9,1,1,0,2980,0,0,2,20,6,101,3,-1,0,3,0
37,4,2,2,0,37,0,0,0,28,4,253,2,-1,0,3,0
40,0,2,1,0,462,1,1,0,6,0,272,1,335,4,1,0
32,0,1,1,0,1031,1,0,0,17,5,84,1,-1,0,3,0
42,4,1,2,0,9009,0,0,0,20,9,135,2,-1,0,3,0
43,0,1,1,0,-465,1,1,0,23,5,166,1,-1,0,3,0
44,0,1,1,0,5181,1,1,0,31,5,18,7,-1,0,3,0
37,0,1,1,0,176,1,0,0,5,8,147,2,347,1,0,0
37,11,1,3,0,1699,0,0,2,9,6,63,1,-1,0,3,0
37,0,1,2,0,0,1,0,0,17,9,65,2,119,1,0,0
28,9,2,2,0,172,1,1,0,2,3,194,2,-1,0,3,0
32,7,2,1,0,0,0,1,0,11,5,333,2,-1,0,3,0
34,0,2,1,0,6979,1,0,0,15,8,14,5,-1,0,3,0
40,0,0,1,0,6,0,0,2,11,6,140,1,-1,0,3,0
34,7,1,1,0,-62,1,0,2,16,6,109,3,-1,0,3,0
34,6,1,2,0,1972,1,0,0,23,5,61,2,-1,0,3,0
34,0,1,2,0,899,1,0,1,19,9,377,3,7,4,2,0
37,7,2,1,0,21,1,0,0,2,3,96,1,271,2,1,0
36,9,1,1,0,23,1,0,0,8,8,152,2,347,1,0,0
56,5,1,1,0,-1206,1,0,0,15,6,382,2,-1,0,3,1
49,1,1,0,0,0,1,1,1,23,5,97,6,-1,0,3,0
33,6,1,1,0,215,1,0,0,29,5,543,12,-1,0,3,0
30,4,2,2,0,1372,0,0,0,20,9,240,2,-1,0,3,0
36,7,1,1,0,1981,0,0,2,17,6,48,2,-1,0,3,0
23,8,2,1,0,9216,0,0,0,5,6,471,2,-1,0,3,0
57,5,0,1,0,39,1,0,0,30,5,354,3,-1,0,3,0
27,1,2,1,0,5563,1,0,2,30,8,435,2,-1,0,3,0
38,7,1,1,0,1,0,1,0,21,9,152,2,-1,0,3,0
42,9,1,2,0,782,0,0,0,3,0,285,1,-1,0,3,0
75,5,1,1,0,3771,0,0,1,15,0,185,1,181,2,2,1
34,9,2,2,0,992,1,0,0,4,8,301,1,88,2,2,0
48,9,1,1,0,1526,0,0,0,6,1,273,2,-1,0,3,0
35,9,2,2,0,2658,1,0,0,19,1,768,2,141,3,0,1
39,4,0,2,0,1315,1,0,0,19,9,1337,4,126,1,0,0
29,1,2,2,0,455,0,0,1,21,0,403,1,-1,0,3,1
45,9,2,2,0,0,1,0,0,18,9,139,2,-1,0,3,0
42,9,1,1,0,2030,1,1,0,9,5,196,1,-1,0,3,0
29,9,1,1,0,1599,1,0,0,8,5,115,1,61,1,0,0
38,7,2,1,0,-196,1,0,0,2,3,60,1,271,1,0,0
56,5,1,1,0,1333,0,0,0,28,1,17,14,-1,0,3,0
36,9,2,1,0,9149,1,0,0,13,1,141,3,-1,0,3,0
25,1,2,1,0,-350,1,0,2,23,6,95,3,-1,0,3,0
38,9,1,2,0,432,1,0,0,15,8,10,2,373,1,1,0
57,6,1,1,0,11494,0,0,0,19,9,198,1,-1,0,3,0
31,4,1,2,1,-253,0,0,0,12,1,220,4,-1,0,3,0
42,4,1,2,0,372,1,0,0,3,1,654,2,-1,0,3,1
45,9,1,1,0,1410,0,0,0,11,1,71,2,-1,0,3,0
30,1,1,1,0,975,1,0,0,13,8,256,2,351,2,0,0
49,1,1,0,0,305,1,1,1,10,5,834,10,-1,0,3,0
49,7,1,1,0,400,0,0,0,21,1,151,3,-1,0,3,0
53,5,1,2,0,-22,1,0,0,31,5,20,3,-1,0,3,0
37,9,1,1,0,4030,1,0,2,26,8,178,5,-1,0,3,0
49,1,1,0,0,365,0,0,2,26,8,59,2,-1,0,3,0
41,6,1,0,0,204,0,0,0,13,1,111,7,-1,0,3,0
54,4,1,0,0,1691,1,0,0,20,9,186,1,-1,0,3,0
32,7,2,1,0,406,1,0,2,6,8,227,1,-1,0,3,0
33,9,1,1,0,-204,0,0,0,15,8,297,3,-1,0,3,0
33,9,1,1,0,359,1,0,0,20,0,210,1,242,1,1,0
36,1,1,0,0,123,1,0,0,18,8,9,1,-1,0,3,0
35,9,1,2,0,0,1,1,0,23,11,112,1,62,6,1,0
52,11,1,1,0,142,0,0,0,25,1,112,6,-1,0,3,0
40,2,1,2,0,3571,0,0,2,9,6,222,3,-1,0,3,0
44,9,2,1,0,33,1,0,0,13,8,195,3,351,10,0,0
45,1,2,1,0,0,1,0,0,26,5,768,2,91,5,2,0
30,8,2,1,0,3096,0,0,0,26,4,123,1,-1,0,3,0
48,9,0,1,1,20,0,0,0,27,1,145,3,-1,0,3,0
33,1,1,1,0,3576,1,0,0,2,0,124,1,308,2,1,0
57,9,1,3,0,206,1,0,2,5,8,216,3,-1,0,3,0
57,3,1,0,0,7082,0,0,2,6,6,69,3,-1,0,3,0
51,10,1,2,0,1634,1,0,0,22,5,168,4,-1,0,3,0
34,0,2,1,0,1,1,0,0,22,5,483,7,-1,0,3,0
50,6,1,2,0,4012,0,0,0,19,9,690,3,-1,0,3,0
44,4,1,2,0,3762,0,0,0,28,1,125,12,-1,0,3,0
27,0,1,1,0,-247,1,1,2,4,6,344,2,-1,0,3,0
50,1,1,1,0,606,1,0,2,14,8,673,2,-1,0,3,0
36,4,1,2,0,0,1,0,0,28,4,60,1,250,1,1,0
42,4,1,1,0,-189,1,0,2,12,8,247,2,-1,0,3,0
32,10,2,1,0,0,0,0,0,27,8,123,2,-1,0,3,0
42,4,1,2,0,484,1,0,0,11,5,144,2,-1,0,3,0
43,9,1,1,0,0,0,1,0,8,8,9,2,172,5,0,0
31,4,1,2,0,395,1,0,0,9,3,155,3,-1,0,3,0
32,4,1,2,0,2349,0,0,0,14,1,134,5,-1,0,3,0
55,1,0,0,0,410,0,1,0,11,5,221,2,-1,0,3,0
58,5,1,0,0,3401,1,0,0,3,3,84,3,265,2,0,0
46,1,1,0,0,222,0,0,0,8,1,71,2,-1,0,3,0
55,1,1,1,0,989,1,1,2,23,8,246,4,-1,0,3,0
34,4,1,2,0,415,0,1,0,23,5,361,2,-1,0,3,0
28,10,2,1,0,16,0,0,0,12,1,119,4,-1,0,3,0
42,9,0,2,0,7190,1,0,0,29,5,375,2,-1,0,3,0
29,1,2,1,0,482,0,1,0,10,5,1097,3,-1,0,3,1
54,3,1,1,0,209,1,1,0,25,5,97,1,-1,0,3,0
32,9,2,1,0,0,0,0,0,26,1,181,2,-1,0,3,0
39,9,2,2,0,5803,0,0,0,2,3,83,3,-1,0,3,0
53,2,1,2,0,624,0,1,0,21,5,180,4,-1,0,3,0
58,9,1,2,0,883,0,0,0,18,1,543,1,78,2,0,0
40,6,1,1,0,1516,1,1,2,23,8,373,1,-1,0,3,0
29,8,2,1,0,872,1,0,2,7,8,230,1,-1,0,3,0
33,9,1,2,0,-988,1,1,0,15,5,83,3,-1,0,3,0
38,0,2,1,0,902,1,0,1,31,5,58,13,-1,0,3,0
56,7,0,1,0,1007,0,0,0,29,5,88,6,-1,0,3,0
40,7,1,1,0,0,1,0,0,2,6,297,1,28,3,0,0
24,1,2,1,0,174,1,1,0,18,8,487,1,-1,0,3,1
46,4,1,1,0,12186,0,0,2,20,6,29,3,-1,0,3,0
35,6,1,1,0,524,1,0,0,21,9,484,4,-1,0,3,0
35,1,2,2,0,0,1,0,0,21,5,262,4,-1,0,3,0
34,9,1,1,0,4,1,0,2,15,8,644,1,-1,0,3,0
35,3,1,2,0,11219,0,0,0,12,1,699,2,79,1,0,0
38,9,2,2,0,0,0,0,0,28,1,247,2,-1,0,3,0
50,1,1,0,0,5776,0,0,0,18,9,49,3,-1,0,3,0
51,1,0,0,0,37,1,0,0,13,8,341,1,-1,0,3,0
59,6,1,2,0,593,0,0,2,13,8,64,2,-1,0,3,0
32,1,1,1,0,1148,1,0,0,20,0,121,1,-1,0,3,0
37,1,2,1,0,3561,1,0,2,2,6,98,1,-1,0,3,0
42,0,0,1,0,63,0,0,2,16,8,88,6,-1,0,3,0
40,8,1,1,0,260,0,0,2,20,6,197,6,-1,0,3,0
28,9,2,2,0,2269,1,0,2,9,8,331,1,-1,0,3,0
47,0,1,1,0,1060,1,0,2,6,6,83,3,-1,0,3,0
27,6,1,1,0,-220,1,0,2,26,8,138,2,-1,0,3,0
41,4,1,2,0,49,1,0,0,17,5,312,5,-1,0,3,0
34,0,1,2,0,69,0,1,0,4,1,120,3,1,6,2,1
50,1,1,0,0,4108,1,0,0,7,1,526,2,-1,0,3,1
47,1,1,1,0,480,1,0,2,28,8,211,2,-1,0,3,0
